step,r2_train,r2_test,mse_train,mse_test,n_samples
"(156, 6)",0.9996115236570793,,0.00013463787034138453,0.00013463800199432972,2
"(156, 9)",0.997217618329517,,0.0007264638719951405,0.00027227972368847275,3
"(157, 6)",0.9995658713815838,,0.00014592592894538354,0.00014592813245243352,2
"(157, 9)",0.996913020395745,,0.0010433178743028564,0.00023775270231081707,3
"(158, 6)",0.9996267673034149,,0.00012173347936948819,0.00012173346020238467,2
"(158, 9)",0.9974573806095086,,0.0007800484295014782,0.00033404667227825407,3
"(159, 6)",0.9995932487378099,,0.00012877487690582295,0.0001287755816442278,2
"(159, 9)",0.9974874744360039,,0.0009746399902064832,0.00031682307658770806,3
"(160, 6)",0.9993803043971118,,0.00019006887531539994,0.0001900689865927951,2
"(160, 9)",0.9975854462247581,,0.0008120030944370837,0.0003852283312858015,3
"(161, 6)",0.9993524090587975,,0.00019254350738540167,0.00019254255142717478,2
"(161, 9)",0.9971441716553867,,0.001133399565583112,0.0003374867366139049,3
"(162, 6)",0.9995660016783667,,0.00012499746278439965,0.00012499888438235072,2
"(162, 9)",0.9976744070302936,,0.0008266789516354002,0.0004458935648095881,3
"(163, 6)",0.9994313435579656,,0.0001585445615488146,0.00015854272522043648,2
"(163, 9)",0.9976245163433463,,0.0010370289423871925,0.0004325125769409524,3
"(164, 6)",0.9993778865961771,,0.00016784680887923183,0.00016784682145352148,2
"(164, 9)",0.9981722652942981,,0.0005983388003961488,0.0004125320607047608,3
"(165, 6)",0.99957534965137,,0.00011080740479956134,0.00011080893518028145,2
"(165, 9)",0.9983518964637119,,0.0006638711778470269,0.0003985539252686302,3
"(166, 6)",0.9993576523276174,,0.00016206756694097619,0.00016206745741359385,2
"(166, 9)",0.998200100055455,,0.0006144384359970881,0.0004280232194024215,3
"(167, 6)",0.9995486120226365,,0.00011012709913430734,0.00011012859556896467,2
"(167, 9)",0.9983172317663425,,0.0006975918555017289,0.00042183314922770597,3
"(168, 6)",0.99931581673197,,0.00016123450412790233,0.0001612320398409824,2
"(168, 9)",0.9981889271176124,,0.0006302356099433975,0.0004719907544317452,3
"(169, 6)",0.9994833119917903,,0.0001175639018512862,0.0001175644138169125,2
"(169, 9)",0.9979000586984699,,0.0011185311236730352,0.0006375439945478793,3
"(170, 6)",0.9994225149978117,,0.00012666758903111632,0.00012666602295203548,2
"(170, 9)",0.9982783359504243,,0.0008608304335232263,0.0007354834313776932,3
"(171, 6)",0.9995208572708305,,0.00010125105445457897,0.00010125094968731976,2
"(171, 9)",0.9984359523471167,,0.0007109548045953314,0.0005081004144739217,3
